Area Code,State/Province,Major Cities By Population,Area Code,,,,
Area Code 201  ,New Jersey ,"Bayonne, Jersey City, Union City ",201 Area Code,,,,
Area Code 202  ,District Of Columbia ,Washington ,202 Area Code,,,,
Area Code 203  ,Connecticut ,"Bridgeport, Danbury, Meriden ",203 Area Code,,,,
Area Code 204  ,Manitoba ,"Brandon, Winnipeg ",204 Area Code,,,,
Area Code 205  ,Alabama ,"Birmingham, Clanton, Jasper ",205 Area Code,,,,
Area Code 206  ,Washington ,Seattle ,206 Area Code,,,,
Area Code 207  ,Maine ,Portland ,207 Area Code,,,,
Area Code 208  ,Idaho ,"Boise, Idaho Falls, Pocatello ",208 Area Code,,,,
Area Code 209  ,California ,"Lodi, Merced, Modesto ",209 Area Code,,,,
Area Code 210  ,Texas ,San Antonio ,210 Area Code,,,,
Area Code 211  ,Non-Geographic ,Health Services Number ,211 Area Code,,,,
Area Code 212  ,New York ,New York City ,212 Area Code,,,,
Area Code 213  ,California ,Los Angeles ,213 Area Code,,,,
Area Code 214  ,Texas ,Dallas ,214 Area Code,,,,
Area Code 215  ,Pennsylvania ,"Levittown, Philadelphia ",215 Area Code,,,,
Area Code 216  ,Ohio ,"Cleveland, Euclid, Lakewood ",216 Area Code,,,,
Area Code 217  ,Illinois ,"Champaign, Decatur, Springfield ",217 Area Code,,,,
Area Code 218  ,Minnesota ,"Duluth, Ely, Moorhead ",218 Area Code,,,,
Area Code 219  ,Indiana ,"Gary, Hammond ",219 Area Code,,,,
Area Code 224  ,Illinois ,"Arlington Heights, Evanston, Skokie ",224 Area Code,,,,
Area Code 225  ,Louisiana ,Baton Rouge ,225 Area Code,,,,
Area Code 226  ,Ontario ,"Kitchener, London, Windsor ",226 Area Code,,,,
Area Code 227  ,Maryland ,Silver Spring ,227 Area Code,,,,
Area Code 228  ,Mississippi ,"Biloxi, Gulfport ",228 Area Code,,,,
Area Code 229  ,Georgia ,"Albany, Americus, Bainbridge ",229 Area Code,,,,
Area Code 231  ,Michigan ,Grant ,231 Area Code,,,,
Area Code 234  ,Ohio ,"Akron, Canton, Youngstown ",234 Area Code,,,,
Area Code 236  ,British Columbia ,Vancouver ,236 Area Code,,,,
Area Code 239  ,Florida ,Cape Coral ,239 Area Code,,,,
Area Code 240  ,Maryland ,"Aspen Hill, Bethesda, Frederick ",240 Area Code,,,,
Area Code 242  , ,"Freeport, Nassau ",242 Area Code,,,,
Area Code 246  , ,Bridgetown ,246 Area Code,,,,
Area Code 248  ,Michigan ,"Farmington Hills, Pontiac, Rochester Hills ",248 Area Code,,,,
Area Code 249  ,Ontario ,Sault Ste. Marie ,249 Area Code,,,,
Area Code 250  ,British Columbia ,Victoria ,250 Area Code,,,,
Area Code 251  ,Alabama ,Mobile ,251 Area Code,,,,
Area Code 252  ,North Carolina ,"Elizabeth City, New Bern, Rocky Mount ",252 Area Code,,,,
Area Code 253  ,Washington ,"Kent, Tacoma ",253 Area Code,,,,
Area Code 254  ,Texas ,"Eastland, Hamilton ",254 Area Code,,,,
Area Code 256  ,Alabama ,"Decatur, Huntsville ",256 Area Code,,,,
Area Code 260  ,Indiana ,Fort Wayne ,260 Area Code,,,,
Area Code 262  ,Wisconsin ,"Kenosha, Racine ",262 Area Code,,,,
Area Code 264  , ,St. John's ,264 Area Code,,,,
Area Code 267  ,Pennsylvania ,"Levittown, Philadelphia ",267 Area Code,,,,
Area Code 268  , ,St. John's ,268 Area Code,,,,
Area Code 269  ,Michigan ,"Allegan, Battle Creek, Marshall ",269 Area Code,,,,
Area Code 270  ,Kentucky ,"Bowling Green, Henderson, Owensboro ",270 Area Code,,,,
Area Code 274  ,Wisconsin ,Green Bay ,274 Area Code,,,,
Area Code 276  ,Virginia ,Danville ,276 Area Code,,,,
Area Code 278  ,Michigan ,Ann Arbor ,278 Area Code,,,,
Area Code 281  ,Texas ,"Baytown, Houston, Missouri City ",281 Area Code,,,,
Area Code 283  ,Ohio ,Cincinnati ,283 Area Code,,,,
Area Code 284  , ,Road Town ,284 Area Code,,,,
Area Code 289  ,Ontario ,"Brampton, Mississauga, Vaughan ",289 Area Code,,,,
Area Code 301  ,Maryland ,"Aspen Hill, Bethesda, Bowie ",301 Area Code,,,,
Area Code 302  ,Delaware ,"Dover, Newark, Wilmington ",302 Area Code,,,,
Area Code 303  ,Colorado ,"Aurora, Boulder, Denver ",303 Area Code,,,,
Area Code 304  ,West Virginia ,"Charleston, Huntington, Parkersburg ",304 Area Code,,,,
Area Code 305  ,Florida ,"Hialeah, Miami, Miami Beach ",305 Area Code,,,,
Area Code 306  ,Saskathcewan ,"Regina, Saskatoon ",306 Area Code,,,,
Area Code 307  ,Wyoming ,"Casper, Cheyenne, Gillette ",307 Area Code,,,,
Area Code 308  ,Nebraska ,Kearney ,308 Area Code,,,,
Area Code 309  ,Illinois ,"Bloomington, Pekin, Rock Island ",309 Area Code,,,,
Area Code 310  ,California ,Los Angeles ,310 Area Code,,,,
Area Code 311  ,Non-Geographic ,Municipal Services Number ,311 Area Code,,,,
Area Code 312  ,Illinois ,Chicago ,312 Area Code,,,,
Area Code 313  ,Michigan ,"Dearborn, Detroit ",313 Area Code,,,,
Area Code 314  ,Missouri ,"Florissant, St. Louis ",314 Area Code,,,,
Area Code 315  ,New York ,"Syracuse, Utica ",315 Area Code,,,,
Area Code 316  ,Kansas ,Wichita ,316 Area Code,,,,
Area Code 317  ,Indiana ,Indianapolis ,317 Area Code,,,,
Area Code 318  ,Louisiana ,"Bossier City, Monroe, Shreveport ",318 Area Code,,,,
Area Code 319  ,Iowa ,"Cedar Rapids, Iowa City ",319 Area Code,,,,
Area Code 320  ,Minnesota ,"Alexandria, Little Falls ",320 Area Code,,,,
Area Code 321  ,Florida ,"Melbourne, Orlando, Palm Bay ",321 Area Code,,,,
Area Code 323  ,California ,Los Angeles ,323 Area Code,,,,
Area Code 325  ,Texas ,"Abilene, San Angelo ",325 Area Code,,,,
Area Code 330  ,Ohio ,"Akron, Canton, Youngstown ",330 Area Code,,,,
Area Code 331  ,Illinois ,"Aurora, Naperville, Wheaton ",331 Area Code,,,,
Area Code 334  ,Alabama ,"Auburn, Dothan, Montgomery ",334 Area Code,,,,
Area Code 336  ,North Carolina ,"Greensboro, High Point, Kernersville ",336 Area Code,,,,
Area Code 337  ,Louisiana ,"Lafayette, Lake Charles ",337 Area Code,,,,
Area Code 339  ,Massachusetts ,"Lynn, Malden, Medford ",339 Area Code,,,,
Area Code 340  , ,Charlotte Amalie ,340 Area Code,,,,
Area Code 341  ,California ,Oakland ,341 Area Code,,,,
Area Code 343  ,Ontario ,Ottawa ,343 Area Code,,,,
Area Code 345  , ,George Town ,345 Area Code,,,,
Area Code 347  ,New York ,"Bronx, Brooklyn, Queens ",347 Area Code,,,,
Area Code 351  ,Massachusetts ,"Haverhill, Lawrence, Lowell ",351 Area Code,,,,
Area Code 352  ,Florida ,"Gainesville, Spring Hill ",352 Area Code,,,,
Area Code 360  ,Washington ,"Bellingham, Vancouver ",360 Area Code,,,,
Area Code 361  ,Texas ,"Corpus Christi, Victoria ",361 Area Code,,,,
Area Code 364  ,Kentucky ,Owensboro ,364 Area Code,,,,
Area Code 369  ,California ,Santa Rosa ,369 Area Code,,,,
Area Code 380  ,Ohio ,Columbus ,380 Area Code,,,,
Area Code 385  ,Utah ,"Ogden, Orem, Provo ",385 Area Code,,,,
Area Code 386  ,Florida ,Daytona Beach ,386 Area Code,,,,
Area Code 401  ,Rhode Island ,"Cranston, Pawtucket, Providence ",401 Area Code,,,,
Area Code 402  ,Nebraska ,"Columbus, Lincoln, Omaha ",402 Area Code,,,,
Area Code 403  ,Alberta ,"Calgary, Lethbridge, Red Deer ",403 Area Code,,,,
Area Code 404  ,Georgia ,"Atlanta, Sandy Springs ",404 Area Code,,,,
Area Code 405  ,Oklahoma ,"MidWest City, Moore, Norman ",405 Area Code,,,,
Area Code 406  ,Montana ,"Billings, Bozeman, Helena ",406 Area Code,,,,
Area Code 407  ,Florida ,"Altamonte Springs, Deltona, Kissimmee ",407 Area Code,,,,
Area Code 408  ,California ,"Gilroy, Los Gatos, Morgan Hill ",408 Area Code,,,,
Area Code 409  ,Texas ,"Beaumont, Galveston ",409 Area Code,,,,
Area Code 410  ,Maryland ,"Annapolis, Baltimore, Columbia ",410 Area Code,,,,
Area Code 411  ,Non-Geographic ,Directory Assistance ,411 Area Code,,,,
Area Code 412  ,Pennsylvania ,Pittsburgh ,412 Area Code,,,,
Area Code 413  ,Massachusetts ,"Chicopee, Holyoke, Northampton ",413 Area Code,,,,
Area Code 414  ,Wisconsin ,"Milwaukee, West Allis ",414 Area Code,,,,
Area Code 415  ,California ,San Francisco ,415 Area Code,,,,
Area Code 416  ,Ontario ,Toronto ,416 Area Code,,,,
Area Code 417  ,Missouri ,Springfield ,417 Area Code,,,,
Area Code 418  ,Quebec ,"Levis, Quebec City ",418 Area Code,,,,
Area Code 419  ,Ohio ,Toledo ,419 Area Code,,,,
Area Code 423  ,Tennessee ,"Chattanooga, Johnson City, Kingsport ",423 Area Code,,,,
Area Code 424  ,California ,"Beverly Hills, Carson, Compton ",424 Area Code,,,,
Area Code 425  ,Washington ,"Bellevue, Everett, Renton ",425 Area Code,,,,
Area Code 430  ,Texas ,"Longview, Tyler ",430 Area Code,,,,
Area Code 432  ,Texas ,"Midland, Odessa ",432 Area Code,,,,
Area Code 434  ,Virginia ,Lynchburg ,434 Area Code,,,,
Area Code 435  ,Utah ,"Cedar City, St. George ",435 Area Code,,,,
Area Code 438  ,Quebec ,Montreal ,438 Area Code,,,,
Area Code 440  ,Ohio ,"Cleveland, Elyria, Lorain ",440 Area Code,,,,
Area Code 441  , ,Pembroke ,441 Area Code,,,,
Area Code 442  ,California ,"Apple Valley, Carlsbad, Encinitas ",442 Area Code,,,,
Area Code 443  ,Maryland ,"Baltimore, Dundalk, Ellicott City ",443 Area Code,,,,
Area Code 445  ,Pennsylvania ,Philadelphia ,445 Area Code,,,,
Area Code 447  ,Illinois ,Champaign ,447 Area Code,,,,
Area Code 450  ,Quebec ,"Brossard, Laval, Repentigny ",450 Area Code,,,,
Area Code 456  ,Non-Geographic ,NANP Inbound Call Routing ,456 Area Code,,,,
Area Code 458  ,Oregon ,Eugene ,458 Area Code,,,,
Area Code 464  ,Illinois ,Cicero ,464 Area Code,,,,
Area Code 469  ,Texas ,"Carrollton, Dallas, Grand Prairie ",469 Area Code,,,,
Area Code 470  ,Georgia ,Atlanta ,470 Area Code,,,,
Area Code 473  , ,St. George's ,473 Area Code,,,,
Area Code 475  ,Connecticut ,"Bridgeport, Danbury, Meriden ",475 Area Code,,,,
Area Code 478  ,Georgia ,Macon ,478 Area Code,,,,
Area Code 479  ,Arkansas ,"Fayetteville, Fort Smith ",479 Area Code,,,,
Area Code 480  ,Arizona ,"Chandler, Mesa, Phoenix ",480 Area Code,,,,
Area Code 484  ,Pennsylvania ,"Allentown, Bethlehem, Reading ",484 Area Code,,,,
Area Code 500  ,Non-Geographic ,Personal Communication Sercives ,500 Area Code,,,,
Area Code 501  ,Arkansas ,Little Rock ,501 Area Code,,,,
Area Code 502  ,Kentucky ,Louisville ,502 Area Code,,,,
Area Code 503  ,Oregon ,"Beaver, Gresham, Portland ",503 Area Code,,,,
Area Code 504  ,Louisiana ,"Kenner, Metairie, New Orleans ",504 Area Code,,,,
Area Code 505  ,New Mexico ,"Albuquerque, Farmington, Santa Fe ",505 Area Code,,,,
Area Code 506  ,New Brunswick ,"Fredricton, Moncton, St. John ",506 Area Code,,,,
Area Code 507  ,Minnesota ,"Austin, Mankato, Worthington ",507 Area Code,,,,
Area Code 508  ,Massachusetts ,"Cambridge, Fall River, Plymouth ",508 Area Code,,,,
Area Code 509  ,Washington ,"Kennewick, Spokane, Yakima ",509 Area Code,,,,
Area Code 510  ,California ,"Alameda, Berkeley, Castro Valley ",510 Area Code,,,,
Area Code 511  ,Non-Geographic ,"Transportation, Traffic, & Weather Info ",511 Area Code,,,,
Area Code 512  ,Texas ,Austin ,512 Area Code,,,,
Area Code 513  ,Ohio ,"Cincinnati, Hamilton ",513 Area Code,,,,
Area Code 514  ,Quebec ,Montreal ,514 Area Code,,,,
Area Code 515  ,Iowa ,"Ames, Iowa City ",515 Area Code,,,,
Area Code 516  ,New York ,"Freeport, Garden City, Glen Cove ",516 Area Code,,,,
Area Code 517  ,Michigan ,"Charlotte, Clinton, Coldwater ",517 Area Code,,,,
Area Code 518  ,New York ,"Albany, Schenectady ",518 Area Code,,,,
Area Code 519  ,Ontario ,"Kitchener, London, Windsor ",519 Area Code,,,,
Area Code 520  ,Arizona ,"Casas Adobes, Catalina Foothills, Tucson ",520 Area Code,,,,
Area Code 530  ,California ,"Chico, Davis, Placerville ",530 Area Code,,,,
Area Code 531  ,Nebraska ,Omaha ,531 Area Code,,,,
Area Code 533  ,Non-Geographic ,Personal Communication Services ,533 Area Code,,,,
Area Code 534  ,Wisconsin ,Eau Claire ,534 Area Code,,,,
Area Code 540  ,Virginia ,"Blacksburg, Fredericksburg, Harrisonburg ",540 Area Code,,,,
Area Code 541  ,Oregon ,"Bend, Eugene, Pendleton ",541 Area Code,,,,
Area Code 551  ,New Jersey ,"Bayonne, Jersey City, Union City ",551 Area Code,,,,
Area Code 555  ,Non-Geographic ,Directory Assistance ,555 Area Code,,,,
Area Code 557  ,Missouri ,St. Louis ,557 Area Code,,,,
Area Code 559  ,California ,"Clovis, Fresno, Visalia ",559 Area Code,,,,
Area Code 561  ,Florida ,"Boca Raton, Boynton Beach, Delray Beach ",561 Area Code,,,,
Area Code 562  ,California ,"Bellflower, Cerritos, Downey ",562 Area Code,,,,
Area Code 563  ,Iowa ,"Davenport, Dubuque ",563 Area Code,,,,
Area Code 564  ,Washington ,Seattle ,564 Area Code,,,,
Area Code 567  ,Ohio ,Toledo ,567 Area Code,,,,
Area Code 570  ,Pennsylvania ,Scranton ,570 Area Code,,,,
Area Code 571  ,Virginia ,"Alexandria, Annandale, Arlington ",571 Area Code,,,,
Area Code 573  ,Missouri ,Columbia ,573 Area Code,,,,
Area Code 574  ,Indiana ,"Elkhart, South Bend ",574 Area Code,,,,
Area Code 575  ,New Mexico ,"Alamogordo, Las Cruces, Roswell ",575 Area Code,,,,
Area Code 579  ,Quebec ,Terrebone ,579 Area Code,,,,
Area Code 580  ,Oklahoma ,Lawton ,580 Area Code,,,,
Area Code 581  ,Quebec ,"Levis, Quebec City ",581 Area Code,,,,
Area Code 585  ,New York ,"Arcade, Rochester ",585 Area Code,,,,
Area Code 586  ,Michigan ,"Sterling Heights, Warren ",586 Area Code,,,,
Area Code 587  ,Alberta ,"Calgary, Edmonton ",587 Area Code,,,,
Area Code 600  ,Non-Geographic ,Specialized Telecom Services ,600 Area Code,,,,
Area Code 601  ,Mississippi ,"Hattiesburg, Jackson, Meridian ",601 Area Code,,,,
Area Code 602  ,Arizona ,Phoenix ,602 Area Code,,,,
Area Code 603  ,New Hampshire ,"Dover, Manchester, Merrimack ",603 Area Code,,,,
Area Code 604  ,British Columbia ,"Burnaby, Coquitlam, Richmond ",604 Area Code,,,,
Area Code 605  ,South Dakota ,"Rapid City, Sioux Falls ",605 Area Code,,,,
Area Code 606  ,Kentucky ,Ashland ,606 Area Code,,,,
Area Code 607  ,New York ,"Elmira, Norwich, Oneonta ",607 Area Code,,,,
Area Code 608  ,Wisconsin ,"Janesville, La Crosse, Madison ",608 Area Code,,,,
Area Code 609  ,New Jersey ,"Allentown, Atlantic City, Plainsboro ",609 Area Code,,,,
Area Code 610  ,Pennsylvania ,"Allentown, Bethlehem, Reading ",610 Area Code,,,,
Area Code 611  ,Non-Geographic ,Special Applications ,611 Area Code,,,,
Area Code 612  ,Minnesota ,Minneapolis ,612 Area Code,,,,
